"Title","WorkoutType","WorkoutDescription","PlannedDuration","PlannedDistanceInMeters","WorkoutDay","CoachComments","DistanceInMeters","PowerAverage","PowerMax","Energy","AthleteComments","TimeTotalInHours","VelocityAverage","VelocityMax","CadenceAverage","CadenceMax","HeartRateAverage","HeartRateMax","TorqueAverage","TorqueMax","IF","TSS","HRZone1Minutes","HRZone2Minutes","HRZone3Minutes","HRZone4Minutes","HRZone5Minutes","HRZone6Minutes","HRZone7Minutes","HRZone8Minutes","HRZone9Minutes","HRZone10Minutes","PWRZone1Minutes","PWRZone2Minutes","PWRZone3Minutes","PWRZone4Minutes","PWRZone5Minutes","PWRZone6Minutes","PWRZone7Minutes","PWRZone8Minutes","PWRZone9Minutes","PWRZone10Minutes","Rpe","Feeling"
"Long Run","Run","or 155-165bpm","1.32166666666667","16000","2025-01-25","","16016.7197265625","","","","","1.59479188919067","2.78999996185303","","163","","148","164","","","0.649120102855546","75.34","73","23","0","0","0","0","0","","","","","","","","","","","","","","3","7"
"Long Ride","Bike","","3.5","","2025-01-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Technique","Swim","","","1000","2025-01-27","","1000","","","","","0.29437611023585","0.94361521916716","","54","","","","","","0.957533543649876","25.84","","","","","","","","","","","","","","","","","","","","","",""
"Really Easy - Miguel Pace Partner","Bike","","0.75","","2025-01-27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Bike","","","","2025-01-28","","5032.97021484375","72","292","97.31","","0.37388888001442","3.73900008201599","","33","","110","137","","","0.533980709298561","10.44","22","0","0","0","0","0","0","","","","16","5","2","0","0","0","","","","","",""
"15 min Threshold","Run","","0.591666666666667","7881","2025-01-28","","6583.169921875","0","0","","","0.594722211360931","3.07399988174438","","158","","153","188","","","0.718945126646597","34.06","18","4","1","12","1","0","0","","","","","","","","","","","","","","",""
"Easy Maria Pace Partner","Bike","","0.833333333333333","","2025-01-28","","21534.169921875","170","346","412.626","","0.67166668176651","8.90499973297119","","90","","132","151","","","0.676338039447231","30.37","40","0","0","0","0","0","0","","","","12","19","8","1","0","0","","","","","",""
"Easy - Maria Pace Partner","Bike","","0.75","","2025-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Threshold /v02","Swim","","","1300","2025-01-29","","1300","","","","","0.341241112020281","1.05008077544426","","58","","","","","","1.04764633394687","39.24","","","","","","","","","","","","","","","","","","","","","",""
"Easy Maria Pace Partner","Bike","","1","","2025-01-30","","32424.029296875","175","314","688.142","","1.09055554866791","8.25800037384033","","79","","0","0","","","0.696865522269018","52.5","","","","","","","","","","","11","38","17","1","0","0","","","","","",""
"Endurance","Swim","","","1100","2025-01-31","","1100","","","","","0.312974722120497","0.96830985915493","","54","","","","","","0.966531731222485","28.26","","","","","","","","","","","","","","","","","","","","","",""
"Easy Run","Run","or 145-155bpm","0.75","8607","2025-01-31","","9050.3798828125","","","","","0.765066921710968","3.28600001335144","","156","","146","157","","","0.75249400305748","47.67","42","4","0","0","0","0","0","","","","","","","","","","","","","","",""
